Date,Dec 05 2024
Time,03:51 PM
File Name,example_file.csv
Run Time,0:00:00.279929
Velocity at Max Compression,828.0849443162348
Time at Max Compression,6.300750500023988e-07
Velocity at Max Tension,464.4646714407541
Time at Max Tension,6.476500600052781e-07
Velocity at Recompression,574.0505816477612
Time at Recompression,6.557375600013682e-07
Carrier Frequency,2232111412.128054
Spall Strength,1427973173.6093001
Spall Strength Uncertainty,10692214.866811184
Strain Rate,2278592.476044843
Strain Rate Uncertainty,537339.142205481
Peak Shock Stress,3251972384.8242855
Spect Time Res,9.625000834177745e-10
Spect Freq Res,15624998.645815466
Spect Velocity Res,12.089538014726124
Signal Start Time,6.140750532205402e-07
Smoothing Characteristic Time,2.9298752539258723e-09
